評等日期,公司代碼,券商,原評等,升/降,新評等,財測EPS(年度),舊目標價,新目標價,現價,備註
20190729,8436-大江,亞系券商,超越市場表現,降級,中立,,630.0,455.0,233.5,--
20190729,2439-美律,亞系券商,買進,降級,中立,,213.0,168.0,132.0,--
20190729,2439-美律,美系券商,加碼,降級,中立,,215.0,170.0,132.0,--
20190728,2439-美律,美系券商,中立,重申,中立,,140.0,130.0,132.0,--
20190728,8436-大江,亞系券商,買進,重申,買進,,540.0,535.0,233.5,--
20190726,2344-華邦電,美系券商,中立,升級,加碼,,17.5,22.5,13.3,--
20190724,2317-鴻海,亞系券商,買進,重申,買進,,110.0,110.0,75.8,--
20190724,2317-鴻海,美系券商,加碼,重申,加碼,,100.0,100.0,75.8,--
20190724,3105-穩懋,美系券商,中立,重申,中立,,220.0,300.0,274.0,--
20190724,3105-穩懋,亞系券商,中立,重申,中立,,180.0,227.0,274.0,--
20190719,2330-台積電,亞系券商,低於市場表現,升級,買進,,239.0,325.0,306.5,--
20190719,2330-台積電,美系券商,買進,重申,買進,,286.0,314.0,306.5,--
20190718,2330-台積電,亞系券商,買進,升級,買進,,271.0,292.0,306.5,--
20190718,2330-台積電,歐系券商,超越市場表現,重申,超越市場表現,,270.0,290.0,306.5,--
20190718,2330-台積電,美系券商,加碼,重申,加碼,,275.0,280.0,306.5,--
20190717,3037-欣興,亞系券商,買進,重申,買進,,43.0,46.0,38.1,--
20190717,2330-台積電,亞系券商,買進,重申,買進,,305.0,295.0,306.5,--
20190711,2454-聯發科,歐系券商,超越市場表現,重申,超越市場表現,,,365.0,368.0,--
20190711,2454-聯發科,亞系券商,買進,重申,買進,,,370.0,368.0,--
20190711,1565-精華,美系券商,減碼,重申,減碼,,480.0,450.0,328.0,--
20190709,2327-國巨,美系券商,減碼,重申,減碼,,,199.0,339.5,--
20190705,2330-台積電,亞系券商,買進,重申,買進,,,271.0,306.5,--
20190705,5274-信驊,美系券商,加碼,降級,中立,,760.0,633.0,1085.0,--
20190705,2330-台積電,美系券商,中立,重申,中立,,,219.0,306.5,--
20190618,3105-穩懋,美系券商,加碼,重申,加碼,,185.0,220.0,274.0,--
20190617,2330-台積電,亞系券商,買進,重申,買進,,,271.0,306.5,--
20190611,9938-百和,美系券商,減碼,升級,加碼,,45.0,100.0,62.8,--
20190611,1476-儒鴻,美系券商,加碼,重申,加碼,,495.0,500.0,280.0,--
20190611,1477-聚陽,美系券商,加碼,重申,加碼,,245.0,255.0,116.5,--
20190611,9910-豐泰,美系券商,加碼,重申,加碼,,265.0,270.0,146.0,--
20190610,2379-瑞昱,歐系券商,賣出,升級,中立,,102.0,215.0,230.5,--
20190610,2379-瑞昱,亞系券商,無,首次,買進,,,260.0,230.5,--
20190606,9921-巨大,亞系券商,無,首次,超越市場表現,,,252.0,141.5,--
20190606,9914-美利達,亞系券商,-,首次,買進,,,200.0,123.0,--
20190530,2454-聯發科,亞系券商,買進,重申,買進,,335.0,335.0,368.0,--
20190530,2454-聯發科,美系券商,加碼,重申,加碼,,350.0,350.0,368.0,--
20190530,2454-聯發科,歐系券商,超越市場表現,重申,超越市場表現,,365.0,365.0,368.0,--
20190522,3105-穩懋,亞系券商,減碼,升級,買進,,125.0,185.0,274.0,--
20190516,2317-鴻海,歐系券商,賣出,重申,賣出,,86.5,71.5,75.8,--
